what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753455319
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753509752
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411753521348
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411753521573
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411753521620
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753670589
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753699216
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411753705488
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411753708742
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753812112
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753834518
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411753838909
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753868194
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753988133
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753989175
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411753991127
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411754105721
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411754216478
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1411754228646
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1411754230884
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411754277825
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754353499
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754373389
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754374776
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754392236
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754400000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754402372
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754410719
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754412894
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754534806
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754555877
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411754563132
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411754563903
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754684688
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411754693908
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411754776567
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411754776863
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411754776915
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411755574454
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411755617393
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411755622501
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411755642932
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.smartEnter",1411755733364
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411755741948
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411755746837
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411755749058
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411755866030
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411755936364
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411756114826
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756134156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756144496
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411756305477
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411756305709
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411756305763
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411756317828
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411756318087
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411756318139
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411756455165
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411756455398
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411756455452
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411756468739
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756726067
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756734521
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1411756734531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756734569
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756735994
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756736125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756737048
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756737142
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756738171
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1411756738426
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756915290
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756948055
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411756956418
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411757058527
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411757110235
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411757113431
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411757113771
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1411757114211
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1411757114211
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1411757114260
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1411757114260
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1411757114295
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1411757114295
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1411757114312
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1411757114315
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1411757114429
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1411757114429
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1411757114469
